feature,p_value,method
Feat 59,0.0014873430541867566,PCA
Feat 60,0.045108474151874675,PCA
Feat 61,2.4480125611313276e-06,PCA
Feat 62,0.000136138844817017,PCA
Feat 63,3.7550531786891863e-06,PCA
Feat 64,0.00012379990689737012,PCA
Feat 65,1.2286295127962261e-05,PCA
Feat 66,2.4119001916874548e-05,PCA
Feat 67,0.0014375388920944158,PCA
Feat 68,7.187174822472388e-05,PCA
Feat 69,5.598638618724835e-05,PCA
Feat 70,6.421535309801664e-06,PCA
Feat 71,7.815732289343785e-06,PCA
Feat 72,2.3532505141356896e-08,PCA
Feat 73,3.0606781425516318e-06,PCA
Feat 74,0.00010035760309505189,PCA
Feat 75,0.000308486715781391,PCA
Feat 76,7.919812914516782e-06,PCA
Feat 77,6.810622378261485e-06,PCA
Feat 78,1.50253506645248e-08,PCA
Feat 79,1.2506590304838786e-06,PCA
Feat 80,0.0005680139376634993,PCA
Feat 81,0.00021073162334728563,PCA
Feat 82,1.0169984869253074e-08,PCA
Feat 83,1.147398901161208e-05,PCA
Feat 84,7.628938980234278e-07,PCA
Feat 85,6.617526452113752e-05,PCA
Feat 86,2.6117386875600706e-06,PCA
Feat 87,2.161130361451985e-06,PCA
Feat 88,1.6580745634766697e-06,PCA
Feat 89,5.9556576967733156e-05,PCA
Feat 90,6.521661880582044e-08,PCA
Feat 91,7.258656332088745e-05,PCA
Feat 92,4.516465298004891e-06,PCA
Feat 93,2.4843987382132005e-05,PCA
Feat 94,6.327760705632151e-05,PCA
Feat 95,3.7350183348357486e-05,PCA
Feat 96,4.762615458013102e-05,PCA
Feat 97,2.9217405532644637e-05,PCA
Feat 98,0.014043634374999281,PCA
Feat 99,0.00016653031363488685,PCA
Feat 100,9.406727637807175e-05,PCA
Feat 101,0.0028299687028222826,PCA
Feat 102,0.00023746276184747012,PCA
Feat 103,0.00022627838707937016,PCA
Feat 104,0.0008742566026774408,PCA
Feat 105,0.0002007626974612292,PCA
Feat 106,0.0004920846737518904,PCA
Feat 107,0.0003071714719326135,PCA
Feat 108,0.008494180395887065,PCA
Feat 109,9.621910505263766e-07,PCA
Feat 110,5.373576248036768e-07,PCA
Feat 111,2.3133242820295206e-05,PCA
Feat 112,7.461511840742273e-05,PCA
Feat 113,0.00018267180349226274,PCA
Feat 114,0.0013119563000004416,PCA
Feat 115,0.0011639085879026857,PCA
Feat 116,7.945066976460837e-06,PCA
Feat 117,2.4853869340901495e-06,PCA
Feat 118,3.392690199528365e-05,PCA
Feat 119,0.002338845424897178,PCA
Feat 120,0.0002373896805016875,PCA
Feat 121,0.009177868946718747,PCA
Feat 122,2.6138095659975973e-05,PCA
Feat 123,0.0025709966962010732,PCA
Feat 124,0.0010651936530842077,PCA
Feat 125,2.405705388853752e-06,PCA
Feat 126,0.006799330583178293,PCA
Feat 127,4.343006973298348e-05,PCA
Feat 128,0.0072295331863690806,PCA
Feat 129,0.10152228220173827,PCA
Feat 130,0.010000494907904367,PCA
