Inferior Semi-Lunar Lobule,Cerebellar Tonsil,Inferior Temporal Gyrus,Uncus,Middle Temporal Gyrus,Superior Temporal Gyrus,Sub-Gyral,Pyramis,Uvula,Uvula of Vermis,Fourth Ventricle,Tuber,Pyramis of Vermis,Nodule,Culmen,Orbital Gyrus,Tuber of Vermis,Fusiform Gyrus,Parahippocampal Gyrus,Rectal Gyrus,Superior Frontal Gyrus,Declive,Declive of Vermis,Fastigium,Lateral Ventricle,Inferior Frontal Gyrus,Middle Frontal Gyrus,Cerebellar Lingual,Medial Frontal Gyrus,Lingual Gyrus,Inferior Occipital Gyrus,Subcallosal Gyrus,Middle Occipital Gyrus,Culmen of Vermis,Extra-Nuclear,Caudate,Third Ventricle,Anterior Cingulate,Lentiform Nucleus,Thalamus,Insula,Claustrum,Cuneus,Posterior Cingulate,Precentral Gyrus,Transverse Temporal Gyrus,Postcentral Gyrus,Precuneus,Superior Occipital Gyrus,Supramarginal Gyrus,Inferior Parietal Lobule,Cingulate Gyrus,Angular Gyrus,Superior Parietal Lobule,Paracentral Lobule,filename,subject,emotion,priming,true_label,predicted_label,error_count
-1.0071732629125527,1.0400666690934834,0.49281368137119,0.7473929474938686,1.629502342260328,0.701477748536006,0.0346953100247116,-0.0768481187711079,1.5112621364736325,3.887281169563112,2.110137365767992,-0.5796390821374292,4.291723931767689,3.981404793038802,4.166746596350721,-0.9444049490736812,5.054290205909013,4.755976035286962,2.0501919107605837,-0.9396219946709718,-0.7103510640449503,7.272376976057974,5.1532448458476425,3.4117920930292964,-2.043738427796114,1.223175565969184,0.0616708922877111,1.2121885772990997,0.2584358660548663,9.241128973390149,7.348144090528391,-1.008012874070095,8.007155742228209,4.267127360797092,-0.7473849995056778,-0.4782632288549234,1.8195070302404088,-0.4321424832171383,1.539930059666288,0.1232482118892609,1.4862451168076354,1.2764468787904706,9.120770373454205,2.759823707475288,1.3634370767327877,0.6156773484987882,1.6426829996921035,2.0709761763014347,9.160593920405836,-2.0768492238247944,-0.9911293903868684,0.200033676601167,-1.0227546740098314,0.7981792742822165,0.1847772174878857,./emotion-fmri-neu/cp018_beta_disgust_incongruent_c0.nii.gz,18,disgust,incongruent,disgust,fear,1
-0.9806925530846528,1.6620241781327425,0.6256207322184091,1.7822635627361845,1.1417710453867516,1.1078062005616978,1.0920404773280452,-0.3915938324589227,1.886760763236648,0.835999642178502,2.5478622439852256,1.1221201394790803,1.2017259090500645,1.767326286900366,4.11654142507001,0.3934597728906984,1.474977050885574,5.003450044389653,1.9543774400814349,1.05104383668474,1.2184581042295828,6.777049889167574,3.3473075424885046,1.4617944254391195,0.544032840522377,2.733918303755194,2.063287195516975,2.3273553799704634,0.3025121684856822,5.259632578253133,5.671468844883763,0.5254003104400266,5.340439706189186,2.425792119645325,0.4770012754084885,1.8521468799738752,1.284756064440957,-0.5773414674081925,1.318681715265537,2.468547577983166,1.2019827624138182,1.2882970032796968,2.9092766918586914,0.7321347790962935,1.4771553739835053,0.449614527362859,1.3782464731737678,0.7985078560211476,7.353746662850877,0.1317512250836848,1.114577076495986,0.0072412619448309,-0.7857306128962004,2.880755503624943,-0.8643785708297743,./emotion-fmri-neu/cp002_beta_anger_neutral_c0.nii.gz,2,anger,neutral,anger,fear,1
-0.823559720266259,0.6114850896299504,0.6028344385880551,1.361114015256232,1.6257695906051222,0.8315375943889886,0.0956555000230598,0.0357318872542042,2.242701720180191,2.32303550218228,2.1311456844104266,0.7622532572569557,1.8293595456001197,1.919054212368556,2.4703529819445653,0.7343305838741141,0.742424462483241,4.1649863567958505,0.6514471073149397,1.7699178874226429,1.361809777480732,5.524121713334679,2.780437022033492,1.6546982762900613,-0.8136066567981877,2.945315342685015,1.7859313897427818,1.979332645322277,0.5482749157336407,3.365350168214761,5.17405079978867,0.1507131993115001,5.850747097126037,-0.0846557370130574,-0.1621490763576272,1.3131368231497704,1.4911918891839946,0.0339221020526873,0.2709282519101632,1.9362826176540653,0.8058490663553077,0.9941245761322708,2.0459178691965927,-1.496852486573134,0.5462000451096419,-0.4525563062624226,0.7315912488459465,-0.7850676512248759,6.267771352442358,0.640093973084067,0.3522612810685646,-1.7792301202149117,-0.603123062449559,0.6506911278489533,-2.67387828091537,./emotion-fmri-neu/cp002_beta_disgust_neutral_c0.nii.gz,2,disgust,neutral,disgust,anger,1
-0.8054644953722636,0.1618538162159435,0.9464771747326624,1.1829871479623275,2.3378682565041964,1.6289088504143028,0.6713964447953031,-0.6127791275578626,0.666937938773848,-0.8925407044731376,0.9019343572721454,0.456202103576785,1.1164669503469449,0.7274305915583383,1.3593286716453346,0.9296028708104608,0.6994908378607106,2.334220112626029,0.6310992818253504,1.8308855540928035,2.605146214497028,4.298433155239953,-0.9705365045147144,-0.1409087370693302,-1.1413923201955047,1.679146889243082,2.142483546722002,-0.4887015401547284,2.154702785503274,5.357138170943754,3.8110947655554512,2.7496286757362958,6.028833314405949,-0.046345289043221,-0.2374359360311264,0.8298479453324563,0.3980379538792455,2.5730902274665985,0.2756120248837373,-0.4045425392112857,1.0027502776593424,0.0133826822202435,7.503891419903762,0.8215501401666887,1.5601972624884737,1.0664025247096287,1.897265042741494,3.24195154037882,7.066001323556222,3.4195133257047274,2.7176188466956988,0.5614445346308103,3.036916972841404,3.79549535288608,2.47776710907408,./emotion-fmri-neu/cp030_beta_disgust_neutral_c0.nii.gz,30,disgust,neutral,disgust,fear,1
-0.772150313086667,0.9569011173339916,0.5525967666483919,0.9975102132611692,0.8984148288604399,0.177986768727367,0.6599354452490309,0.125820164535966,2.2856386672634827,1.664947399272653,0.5588820470537752,1.0478580637388213,2.7055774254189005,1.4853040280230358,2.401432644581619,0.2361444479450316,2.7082110348076327,3.8211983811883714,1.256494871715084,1.2219790037655718,0.3576378529257956,5.307112128687741,3.485471765643594,-0.2574984986524261,-0.5894896103481291,1.8935221337591,1.215155144873474,0.0094999119498083,-0.4678006931183976,4.186017257005132,3.7127766134148223,-0.7717896208712893,5.821187855166318,1.4200883879536392,-0.3748504913035853,0.5007417599196402,-0.0021990415570768,-1.944561028086855,-0.5795296492013631,1.3605270242290626,0.0820505233840847,0.0692695865783355,3.332008015821154,-1.5991320539100071,0.7453618439249384,0.0608301706184252,1.2481411162475635,0.7358586842962713,6.513294862831946,0.0374228306250237,2.0301758976906696,-0.5188102562743049,-1.362755726513448,3.4867061824370618,-0.4904581933667327,./emotion-fmri-neu/cp002_beta_fear_neutral_c0.nii.gz,2,fear,neutral,fear,disgust,1
-0.7582883852924337,0.1116892829107543,0.8273606452632871,0.1607669048337034,0.2638986576041781,-0.6248140071541374,0.2737584530638263,-0.966622186423452,-0.4994062005948513,0.3771686668663394,-0.0426042520784216,-0.1096184852704366,1.032388545507327,-0.5892664869420337,1.1997853159527936,0.2205041338360237,1.062977595997933,3.328346652072989,0.7985238019072723,0.0844579904888199,0.1036638592902809,5.026874669689431,0.9770938378967334,-1.5822902142672692,-0.5728445774370429,0.9492603652245422,1.2180086246901136,-0.155347735542542,-0.4890520626466337,8.519556550444793,5.058392112537988,0.178797140370043,5.598864496487355,-0.0315248467203716,-0.2123536891449483,-0.05602676222167,2.67545632214472,-1.294725605072696,0.1442802138803449,1.1689244296311143,-0.0041644217600935,0.1076585915184558,7.280511730787147,0.953803741077866,-0.1674619366532398,0.5838244801006123,0.7510925718675002,0.3161274516774635,4.7043964997638845,-1.3703677484212269,0.2473252158379582,-0.1635101222847431,-1.0548882243026771,1.3496599280232189,-0.3525092668707852,./emotion-fmri-neu/cp028_beta_anger_incongruent_c0.nii.gz,28,anger,incongruent,anger,disgust,1
-0.5219964792827523,0.9172879115053316,0.6299399914154717,1.6447596376284053,0.7529078871525057,0.3205001687251365,0.2524349771093848,-0.0685246801504761,1.9451304753588756,2.93609756415848,-0.9963684501707468,0.5610793638232906,2.701652910673177,1.3945544191954728,3.201921581320036,-0.4959392606395659,2.556342750917427,3.651155479774391,1.6577922876061373,-0.4047371321835208,-0.0126435787183314,6.260725151866646,2.6768317244999653,0.1094049440210411,-1.4051784457955068,0.7034748041905227,0.4584735602199848,0.7094760920235048,0.3419781420899374,7.348064771536072,5.544279653270602,-1.009832009549913,6.020734700330473,3.639315237965987,-0.2877626736870707,-0.4170330601462659,-0.2475139856203733,-0.3787976962899929,0.6055782563555219,0.0626407931798651,1.192473397346029,1.3063900324086588,7.228632307820175,1.9322622926713915,1.3770564806267769,0.5210495022200734,1.6943555824711618,1.4250599885649282,5.922934752586665,-1.6229933184327805,-0.466486826017432,-0.0810816898863553,-0.5453964354614333,1.1886238394597126,0.5894683158646299,./emotion-fmri-neu/cp018_beta_fear_congruent_c0.nii.gz,18,fear,congruent,fear,disgust,1
-0.5059328318793949,-0.4576684128656273,0.3203926423160257,0.2102856188797132,0.5828706868884386,0.5692557797986192,-0.8947116797622388,-1.5820400665773788,-1.2210615768495576,-1.283142629241704,-0.6590662647743093,-1.5173041897480202,-1.5393180984116863,-0.7133132964846128,1.1187765518397532,0.3051530991894072,-2.07939836955871,2.3868867088812937,-0.1341483827031146,1.000567031507637,0.2340496695131697,1.91406647522884,-0.6545963525097429,-1.064371705922137,-2.3677715682994465,1.031751932531941,0.1669795225170873,-2.0978557649343506,1.2004035776162687,3.899018004432147,3.150331845499637,0.053558672292369,2.643911949717837,2.3028643612269355,-1.3592967943637286,-0.738360946445022,-1.2004028049348228,0.0100602041061893,-0.0616570943781998,-1.4987639118978493,0.3002128636501938,0.0032913835678499,3.450595527762204,1.4054398849805467,0.5038142364715699,1.1764484626005471,0.5020277842302784,-1.421656379790582,1.7309157711691383,-0.7836404719065875,-1.1386457017367448,-0.9138096280220638,0.5478564354528371,-0.2335929547796037,1.497046611223101,./emotion-fmri-neu/cp012_beta_disgust_neutral_c0.nii.gz,12,disgust,neutral,disgust,fear,1
-0.3852630596851608,0.6625957854391983,0.1944020312037048,0.6194800126583125,0.3102741438795485,0.481524745866219,0.3223390366554635,-0.3283891416333555,1.740565774857811,1.0803428268366038,0.8187438066460061,0.6319276208022202,1.0646529266624811,1.0341117000026796,2.346923274629536,-0.2579208430413886,1.5337952655022422,3.6043875792621938,0.9424902586984486,-0.1794925670201724,0.2608291906433874,5.774417738156797,3.325104870430849,0.9256158863899496,-0.34711252355982,1.1161012147484732,1.0931388881548303,0.5894955801280868,-0.4818814121688139,5.854480104595525,5.780214495473501,-0.5615218399172855,5.420035214630748,1.039439518558223,0.1016229662287515,0.7930474737726423,2.385170319784812,-0.960589586531251,0.4491912995862155,1.5384753867483465,0.8036449371799064,0.7167847978258237,3.796712337943676,-0.266493623968628,1.0779156829167804,0.3912327846247328,1.9461521077219792,-0.1225139693198477,4.275038930590012,0.4396892745647249,1.7176451289806038,-0.3994329902467998,-1.5730431989104712,1.8290656320923235,-0.4485852251563814,./emotion-fmri-neu/cp002_beta_disgust_incongruent_c0.nii.gz,2,disgust,incongruent,disgust,anger,1
-0.3819800579324468,-0.0537914352989126,0.2945000183134748,0.5857241520895822,-0.4417347954628386,-0.5383131710377738,-0.0754667249630963,-0.0195583975954669,1.634518714450514,-1.0587590398707911,1.021389465160894,1.7166881714078432,-0.5111533916296467,0.3644997239909283,2.3114254102917324,0.6487680542615673,0.1678243056170067,3.517112830216393,0.2318455669716351,1.027394443236603,1.1619165640021027,5.617936954768973,2.942056455543956,0.3587852661048984,-0.91874387714777,1.673961927227042,1.1083652266652482,0.8930229036672253,0.652760816228773,6.952031012217199,7.102627753277646,0.5923154128812762,4.622182675259371,2.0721447565369364,-0.4481354049053054,-0.3317699506956311,0.3967279636774117,0.4229128580805811,0.309179922427987,-0.0237369417776772,-0.6509667447307013,-0.0149708049273121,4.114409013209447,0.427569446796145,-0.5685995039023904,-1.3736870529651282,-1.0498361955971194,-0.204597944373817,2.719530364738412,0.5308751760238342,-0.1630765665830722,-0.1598965515582723,0.811078387284348,1.9375860079927287,-1.386054791698018,./emotion-fmri-neu/cp001_beta_fear_incongruent_c0.nii.gz,1,fear,incongruent,fear,anger,1
