feature,corrcoef,category
Feat 129,-0.012273379641190033,No Correlation
Feat 130,0.030917411096645038,No Correlation
Feat 131,0.013291650449114366,No Correlation
Feat 132,-0.003549674386125857,No Correlation
Feat 133,-0.032523897503746686,No Correlation
Feat 134,0.0020880878840914647,No Correlation
Feat 135,0.013373034560743808,No Correlation
Feat 136,0.013624170897466769,No Correlation
Feat 137,-0.02769413217847281,No Correlation
Feat 138,0.006632881733903501,No Correlation
Feat 139,0.035487602303029546,No Correlation
Feat 140,-0.017483139852652985,No Correlation
Feat 141,0.007185905380906773,No Correlation
Feat 142,0.005840882281699958,No Correlation
Feat 143,0.023097060326165427,No Correlation
Feat 144,0.015120760793176573,No Correlation
Feat 145,-0.009150722181460786,No Correlation
Feat 146,0.004510626850534547,No Correlation
Feat 147,0.0030802602732991906,No Correlation
