method,target,feat_1,feat_2,p_value
Talairach Gyrus,priming,priming,predicted_label,8.339954878065041e-11
Talairach Gyrus,priming,predicted_label,subject,2.16879799117646e-08
Talairach Gyrus,priming,predicted_label,emotion,0.7430159828089684
Talairach Gyrus,priming,predicted_label,priming,8.339954878065041e-11
Talairach Ba,emotion,subject,emotion,0.4915177027331905
Talairach Ba,emotion,subject,priming,0.9999999999999839
Talairach Ba,emotion,subject,predicted_label,1.0812966322625374e-14
Talairach Ba,emotion,emotion,subject,0.4915177027331903
Talairach Ba,emotion,emotion,priming,0.931220078937615
Talairach Ba,emotion,emotion,predicted_label,5.717755821554891e-18
Talairach Ba,emotion,priming,subject,0.9999999999999839
Talairach Ba,emotion,priming,emotion,0.931220078937615
Talairach Ba,emotion,priming,predicted_label,0.3903881195417963
Talairach Ba,emotion,predicted_label,subject,1.0812966322625374e-14
Talairach Ba,emotion,predicted_label,emotion,5.717755821554891e-18
Talairach Ba,emotion,predicted_label,priming,0.3903881195417963
Talairach Ba,priming,subject,emotion,0.9999968263610456
Talairach Ba,priming,subject,priming,0.011095947830598132
Talairach Ba,priming,subject,predicted_label,6.784114298796336e-10
Talairach Ba,priming,emotion,subject,0.9999968263610456
Talairach Ba,priming,emotion,priming,0.7812554698312058
Talairach Ba,priming,emotion,predicted_label,0.8469648238924518
Talairach Ba,priming,priming,subject,0.011095947830598295
Talairach Ba,priming,priming,emotion,0.7812554698312058
Talairach Ba,priming,priming,predicted_label,7.540318189716641e-12
Talairach Ba,priming,predicted_label,subject,6.784114298796244e-10
Talairach Ba,priming,predicted_label,emotion,0.8469648238924518
Talairach Ba,priming,predicted_label,priming,7.540318189716641e-12
Schaefer 100 x 7 x 1,emotion,subject,emotion,0.5429655652274209
Schaefer 100 x 7 x 1,emotion,subject,priming,0.999999999887064
Schaefer 100 x 7 x 1,emotion,subject,predicted_label,3.151556211624444e-11
Schaefer 100 x 7 x 1,emotion,emotion,subject,0.5429655652274211
Schaefer 100 x 7 x 1,emotion,emotion,priming,0.9698448850911308
Schaefer 100 x 7 x 1,emotion,emotion,predicted_label,4.632822198058398e-20
Schaefer 100 x 7 x 1,emotion,priming,subject,0.999999999887064
Schaefer 100 x 7 x 1,emotion,priming,emotion,0.9698448850911308
Schaefer 100 x 7 x 1,emotion,priming,predicted_label,0.9243585481448237
Schaefer 100 x 7 x 1,emotion,predicted_label,subject,3.151556211624444e-11
Schaefer 100 x 7 x 1,emotion,predicted_label,emotion,4.632822198058398e-20
Schaefer 100 x 7 x 1,emotion,predicted_label,priming,0.9243585481448237
Schaefer 100 x 7 x 1,priming,subject,emotion,0.9985148608048023
Schaefer 100 x 7 x 1,priming,subject,priming,0.028542004629866915
Schaefer 100 x 7 x 1,priming,subject,predicted_label,3.178504104677713e-06
Schaefer 100 x 7 x 1,priming,emotion,subject,0.9985148608048023
Schaefer 100 x 7 x 1,priming,emotion,priming,0.5471363479913346
Schaefer 100 x 7 x 1,priming,emotion,predicted_label,0.6687427274917817
Schaefer 100 x 7 x 1,priming,priming,subject,0.028542004629866682
Schaefer 100 x 7 x 1,priming,priming,emotion,0.5471363479913347
Schaefer 100 x 7 x 1,priming,priming,predicted_label,1.976875387257743e-09
Schaefer 100 x 7 x 1,priming,predicted_label,subject,3.1785041046777604e-06
Schaefer 100 x 7 x 1,priming,predicted_label,emotion,0.6687427274917817
Schaefer 100 x 7 x 1,priming,predicted_label,priming,1.976875387257743e-09
Talairach Hemi x Lobe x Tissue,emotion,subject,emotion,0.8291115001388439
Talairach Hemi x Lobe x Tissue,emotion,subject,priming,0.9999999998760492
Talairach Hemi x Lobe x Tissue,emotion,subject,predicted_label,4.508544738085904e-10
Talairach Hemi x Lobe x Tissue,emotion,emotion,subject,0.8291115001388439
Talairach Hemi x Lobe x Tissue,emotion,emotion,priming,0.868776546076835
Talairach Hemi x Lobe x Tissue,emotion,emotion,predicted_label,2.6627666409467413e-18
Talairach Hemi x Lobe x Tissue,emotion,priming,subject,0.9999999998760492
Talairach Hemi x Lobe x Tissue,emotion,priming,emotion,0.868776546076835
Talairach Hemi x Lobe x Tissue,emotion,priming,predicted_label,0.47179777327379313
Talairach Hemi x Lobe x Tissue,emotion,predicted_label,subject,4.5085447380859044e-10
Talairach Hemi x Lobe x Tissue,emotion,predicted_label,emotion,2.6627666409467413e-18
Talairach Hemi x Lobe x Tissue,emotion,predicted_label,priming,0.47179777327379313
Talairach Hemi x Lobe x Tissue,priming,subject,emotion,0.9999990796448484
Talairach Hemi x Lobe x Tissue,priming,subject,priming,0.10485710408266649
Talairach Hemi x Lobe x Tissue,priming,subject,predicted_label,2.0700756415198578e-13
Talairach Hemi x Lobe x Tissue,priming,emotion,subject,0.9999990796448484
Talairach Hemi x Lobe x Tissue,priming,emotion,priming,0.9305114581810898
Talairach Hemi x Lobe x Tissue,priming,emotion,predicted_label,0.7947843561050816
Talairach Hemi x Lobe x Tissue,priming,priming,subject,0.10485710408266649
Talairach Hemi x Lobe x Tissue,priming,priming,emotion,0.9305114581810898
Talairach Hemi x Lobe x Tissue,priming,priming,predicted_label,1.1917644499884188e-13
Talairach Hemi x Lobe x Tissue,priming,predicted_label,subject,2.0700756415198265e-13
Talairach Hemi x Lobe x Tissue,priming,predicted_label,emotion,0.7947843561050816
Talairach Hemi x Lobe x Tissue,priming,predicted_label,priming,1.19176444998841e-13
PCA,emotion,subject,emotion,0.3407116380433178
PCA,emotion,subject,priming,0.9999999999999872
PCA,emotion,subject,predicted_label,4.075894951785354e-06
PCA,emotion,emotion,subject,0.3407116380433178
PCA,emotion,emotion,priming,0.9882349099516583
PCA,emotion,emotion,predicted_label,9.77143669607008e-18
PCA,emotion,priming,subject,0.9999999999999872
PCA,emotion,priming,emotion,0.9882349099516583
PCA,emotion,priming,predicted_label,0.40271041695645476
PCA,emotion,predicted_label,subject,4.0758949517853844e-06
PCA,emotion,predicted_label,emotion,9.771436696070008e-18
PCA,emotion,predicted_label,priming,0.40271041695645476
PCA,priming,subject,emotion,0.9846435555811377
PCA,priming,subject,priming,0.19887954796035107
PCA,priming,subject,predicted_label,6.506130439200216e-06
PCA,priming,emotion,subject,0.9846435555811377
PCA,priming,emotion,priming,0.5964865709747654
PCA,priming,emotion,predicted_label,0.07730613263262212
PCA,priming,priming,subject,0.1988795479603513
PCA,priming,priming,emotion,0.5964865709747654
PCA,priming,priming,predicted_label,3.013853545287654e-08
PCA,priming,predicted_label,subject,6.506130439200216e-06
PCA,priming,predicted_label,emotion,0.07730613263262212
PCA,priming,predicted_label,priming,3.013853545287654e-08
Isomap,emotion,subject,emotion,0.9215423752967331
Isomap,emotion,subject,priming,0.999999999370659
